nfl_player_id,nfl_last_name,nfl_player_name,nfl_full_name,nfl_first_name,nfl_position,first_season,nfl_height,nfl_weight,nfl_forty,nfl_bench,nfl_vertical,nfl_broad_jump,nfl_cone,nfl_shuttle,epa_per_play_career,target_share_career,ppr_points_career,ppr_ppg_career,epa_per_play_year_1,target_share_year_1,ppr_points_year_1,ppr_ppg_year_1,epa_per_play_year_2,target_share_year_2,ppr_points_year_2,ppr_ppg_year_2,epa_per_play_first_2,target_share_first_2,ppr_points_first_2,ppr_ppg_first_2,epa_per_play_first_3,target_share_first_3,ppr_points_first_3,ppr_ppg_first_3,epa_per_play_first_4,target_share_first_4,ppr_points_first_4,ppr_ppg_first_4,top_5_finishes,top_12_finishes,top_24_finishes,top_36_finishes
00-0038702,Arias,NA,Daniel Arias,Daniel,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038705,Demercado,E.Demercado,Emari Demercado,Emari,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0.05870841487279843,73.3,4.754545454545454,0,0.05870841487279843,73.3,4.754545454545454,NA,NA,NA,NA,0,0.05870841487279843,73.3,4.754545454545454,0,0.05870841487279843,73.3,4.754545454545454,0,0.05870841487279843,73.3,4.754545454545454,0,0,0,0
00-0038706,Honigford,NA,Joel Honigford,Joel,TE,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038710,Whiteheart,NA,Blake Whiteheart,Blake,TE,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038713,Greaney,NA,Thomas Greaney,Thomas,TE,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038714,Hall,NA,Hassan Hall,Hassan,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038720,Hill,J.Hill,Julian Hill,Julian,TE,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0.013409961685823755,7.6000000000000005,0.5200000000000001,0,0.013409961685823755,7.6000000000000005,0.5200000000000001,NA,NA,NA,NA,0,0.013409961685823755,7.6000000000000005,0.5200000000000001,0,0.013409961685823755,7.6000000000000005,0.5200000000000001,0,0.013409961685823755,7.6000000000000005,0.5200000000000001,NA,NA,NA,NA
00-0038726,Matthews,NA,Jesse Matthews,Jesse,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038727,Valladay,NA,Xazavian Valladay,Xazavian,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038728,Wayne,NA,Jared Wayne,Jared,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038730,Barbon,NA,Jose Barbon,Jose,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038734,Durden,NA,David Durden,David,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038735,Fant,NA,Princeton Fant,Princeton,TE,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038738,Luepke,H.Luepke,Hunter Luepke,Hunter,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0.007079646017699115,12.700000000000001,1.616666666666667,0,0.007079646017699115,12.700000000000001,1.616666666666667,NA,NA,NA,NA,0,0.007079646017699115,12.700000000000001,1.616666666666667,0,0.007079646017699115,12.700000000000001,1.616666666666667,0,0.007079646017699115,12.700000000000001,1.616666666666667,NA,NA,NA,NA
00-0038740,Moreno-Cropper,NA,Jalen Moreno-Cropper,Jalen,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038741,Stephens,NA,John Stephens Jr.,John,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038743,Byrd,NA,Jordan Byrd,Jordan,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038744,Morgan,NA,Tanner Morgan,Tanner,QB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038749,Ahlers,NA,Holton Ahlers,Holton,QB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038752,Bobo,J.Bobo,Jake Bobo,Jake,WR,2023,6-4,206,NA,NA,NA,NA,NA,NA,0,0.046065259117082535,55,2.8461538461538463,0,0.046065259117082535,55,2.8461538461538463,NA,NA,NA,NA,0,0.046065259117082535,55,2.8461538461538463,0,0.046065259117082535,55,2.8461538461538463,0,0.046065259117082535,55,2.8461538461538463,0,0,0,0
00-0038758,Gindorff,NA,Noah Gindorff,Noah,TE,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038759,Hall,NA,John Hall,John,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038760,Hebert,NA,Griffin Hebert,Griffin,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038762,Landers,NA,Matt Landers,Matthew,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038763,Lindsey,NA,Tyjon Lindsey,Tyjon,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038777,Peoples,NA,Camerun Peoples,Camerun,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038780,Vann,NA,Josh Vann,Josh,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038783,Adkins,N.Adkins,Nate Adkins,Nate,TE,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0.011235955056179775,6.2,0.55,0,0.011235955056179775,6.2,0.55,NA,NA,NA,NA,0,0.011235955056179775,6.2,0.55,0,0.011235955056179775,6.2,0.55,0,0.011235955056179775,6.2,0.55,NA,NA,NA,NA
00-0038789,Grimes,NA,Taylor Grimes,Taylor,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
