year,week,down,clock_minutes,half_clock.minutes,pos_team,def_pos_team,wp_before,def_wp_before,pass,rush,xp,name,conference,team_id,color,logo
2024,1,2,4,19,SMU,Nevada,0.5455998,0.4544002,1,0,0.5145884156227112,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,3,4,19,SMU,Nevada,0.5004958,0.4995042,0,1,0.8328949213027954,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,4,2,17,SMU,Nevada,0.4546348,0.5453652,0,1,0.3921321928501129,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,2,17,Nevada,SMU,0.6714691,0.3285309,0,1,0.25728535652160645,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,2,17,Nevada,SMU,0.6436384,0.3563616,0,1,0.566569983959198,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,1,16,Nevada,SMU,0.6442041,0.3557959,1,0,0.770183265209198,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,0,15,SMU,Nevada,0.3671872,0.6328128,1,0,0.44742316007614136,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,0,15,SMU,Nevada,0.412813,0.587187,0,1,0.4370384216308594,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,2,15,15,SMU,Nevada,0.3544762,0.6455238,0,1,0.6945810317993164,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,3,15,15,SMU,Nevada,0.3213497,0.6786503,1,0,0.767208456993103,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,15,15,SMU,Nevada,0.4337486,0.5662514,1,0,0.3722081184387207,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,13,13,SMU,Nevada,0.5304044,0.4695956,0,1,0.2442118376493454,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,12,12,SMU,Nevada,0.5977535,0.4022465,0,1,0.05169200897216797,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,12,12,Nevada,SMU,0.4584214,0.5415786,1,0,0.44963979721069336,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,12,12,Nevada,SMU,0.4266058,0.5733942,0,1,0.5332675576210022,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,12,12,Nevada,SMU,0.3982204,0.6017796,0,1,0.8630542755126953,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,12,12,Nevada,SMU,0.4959898,0.5040102,0,1,0.4504210948944092,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,12,12,Nevada,SMU,0.5368309,0.4631691,1,0,0.4052809178829193,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,12,12,Nevada,SMU,0.5143962,0.4856038,0,1,0.4772816002368927,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,12,12,Nevada,SMU,0.5223707,0.4776293,0,1,0.23490411043167114,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,8,8,SMU,Nevada,0.5381888,0.4618112,0,1,0.4516666531562805,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,2,8,8,SMU,Nevada,0.5131286,0.4868714,1,0,0.6114691495895386,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,3,8,8,SMU,Nevada,0.4759701,0.5240299,1,0,0.8517510294914246,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,7,7,Nevada,SMU,0.5843168,0.4156832,0,1,0.46566683053970337,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,6,6,Nevada,SMU,0.5042812,0.4957188,1,0,0.6114657521247864,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,6,6,Nevada,SMU,0.49609,0.50391,0,1,0.6540540456771851,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
