athlete_id,player_id,Name,Team,Conference,Eligibility,Year.Out.Of.HS,Recruit.Stars,Height,Weight,Pos
4872956,"Holman Edwards, Houston, QB",Holman Edwards,Houston,American Athletic,2024,1,NA,75,200,QB
4040880,"Sam Noyer, Oregon State, QB",Sam Noyer,Oregon State,Pac-12,2022,6,3,76,220,QB
4430829,"Michael Alaimo, Purdue, QB",Michael Alaimo,Purdue,Big Ten,2023,2,4,76,215,QB
4570743,"Santino Marucci, Wake Forest, QB",Santino Marucci,Wake Forest,ACC,2024,1,3,73,190,QB
4360070,"Wyatt Fischer, Cincinnati, WR",Wyatt Fischer,Cincinnati,American Athletic,2022,3,NA,72,202,WR
4427158,"Jah'Quez Evans, South Florida, QB",Jah'Quez Evans,South Florida,American Athletic,2022,3,3,74,185,QB
4372715,"Robby Rowell, California, QB",Robby Rowell,California,Pac-12,2022,3,NA,74,210,QB
4373692,"Dylan Ratliff, Charlotte, QB",Dylan Ratliff,Charlotte,Conference USA,2022,3,NA,71,175,QB
4609699,"Makari Pruitt, Georgia State, RB",Makari Pruitt,Georgia State,Sun Belt,2023,2,NA,66,160,RB
4710673,"CJ Johnson II, Northwestern, WR",CJ Johnson II,Northwestern,Big Ten,2024,1,NA,72,180,WR
4618083,"Ethan Hampton, Northern Illinois, QB",Ethan Hampton,Northern Illinois,Mid-American,2024,1,3,75,194,QB
4708731,"- 1q, San Diego State, QB",- 1q,San Diego State,Mountain West,2023,1,NA,NA,NA,QB
4428832,"Carter Wheat, BYU, TE",Carter Wheat,BYU,FBS Independents,2022,3,3,76,236,TE
4430041,"Michael Lindauer, Cincinnati, QB",Michael Lindauer,Cincinnati,American Athletic,2022,2,3,75,200,QB
4428538,"Tyetus Smith-Lindsey, UAB, RB",Tyetus Smith-Lindsey,UAB,Conference USA,2022,3,2,67,175,RB
4241667,"Jaylen Gipson, Texas State, QB",Jaylen Gipson,Texas State,Sun Belt,2022,5,3,74,195,QB
4426613,"Dee Baker, Southern Mississippi, RB",Dee Baker,Southern Mississippi,Conference USA,2022,3,3,72,182,RB
4426645,"Jouvensly Bazil, Washington State, RB",Jouvensly Bazil,Washington State,Pac-12,2022,3,3,70,185,RB
3911470,"Javon Conner, Ohio, WR",Javon Conner,Ohio,Mid-American,2024,1,NA,70,170,WR
4361293,"Thomas Pannunzio, Colorado State, WR",Thomas Pannunzio,Colorado State,Mountain West,2022,4,NA,69,170,WR
4892588," Team, Air Force, QB", Team,Air Force,Mountain West,2024,1,NA,NA,NA,QB
4430867,"Kyle Toole, Troy, QB",Kyle Toole,Troy,Sun Belt,2023,2,3,74,218,QB
